k,x,y,a,
1,0.45414306187527953,-0.2878877007791082,-0.00010180440999006668,
2,1.0199166636866386,-0.942295939316493,-0.0002555373559301466,
3,1.4737837622961385,-0.8391373351208202,-0.00031048229652834837,
4,1.9120140864337687,-1.428254433532551,-0.00037916062907453543,
5,2.6450781208656493,-1.7423000906849944,-0.0004920740502110688,
6,3.168652125299818,-2.1627932945166544,-0.0005759193564552744,
7,3.757033864734242,-2.4777211672715223,-0.0005264663029226487,
8,4.350775525972916,-2.9799434689969364,-0.0005216762740305847,
9,5.107114864546077,-3.783950855718454,-0.0006053425217133895,
10,5.604786260256854,-3.9650057295294214,-0.0005789025695269825,
11,6.129213569218916,-4.313839337198571,-0.00062898809074371,
12,6.758897763167245,-4.699490981731723,-0.0006594775857552258,
13,7.4286041288825535,-4.8515271749513,-0.0008277704919284749,
14,8.229543746508089,-5.271243193115848,-0.0008187059723649871,
15,8.816683753238987,-5.673011507978849,-0.0008759632822211501,
16,9.675195678093154,-5.704400406973293,-0.0008005560858799906,
17,10.269378754152894,-6.15080453680183,-0.0007172804097687903,
18,11.164016441376052,-6.237193468859487,-0.0006551282372231945,
19,12.224220681939121,-6.624345888269804,-0.0004973439577126395,
20,12.806804628534698,-6.393542320322403,-0.0005241440973216064,
21,13.74187569023378,-6.363097765929292,-0.00042926477661814214,
22,14.506338111865565,-6.234590197629376,-0.0003786150652693436,
23,15.396130496943742,-6.275258151678173,-0.0003992984428820715,
24,16.278084082555303,-6.1231418666002595,-0.00034138229472375147,
25,17.301438937146,-6.001561990788435,-0.0003233581336890924,
26,18.161572109646833,-5.994269972110798,-0.00014348864048324345,
27,19.331847224337718,-5.597806590489334,-0.00015341957438675955,
28,20.11043982769176,-5.4943712756382235,4.923527132240466e-05,
29,21.092342541107016,-5.227076985031236,0.00023357464924532098,
30,22.147124235557733,-4.949796702564708,0.0002569451583109731,
31,23.301206399459925,-5.196599364943748,0.00040030738254750336,
32,23.91626477168635,-4.550612980280379,0.0003916618433348423,
33,24.89058583212427,-4.4673712261716725,0.0003421531314487999,
34,25.829035831104047,-4.222716742906498,0.0003508837888190589,
35,26.858735915904056,-4.311945876661901,0.00032429213341915485,
36,27.505959386657576,-3.947956322105046,0.00029808520801116956,
37,28.36204696896682,-4.0326367897210975,0.00031983152058899934,
38,28.946302486530072,-3.9011142600447926,0.00047443114145773266,
39,29.717004987947576,-3.783098379363282,0.0005260219925811978,
40,30.48166405186078,-3.6256708308069197,0.000584326254558863,
41,31.104273073426935,-3.6352442238511413,0.0005738988531995125,
42,32.0150753074266,-3.4897770699060824,0.0005823469316434029,
43,32.56777652117643,-3.4263741973403894,0.000644749484326487,
44,33.086729640366656,-3.2865179029762386,0.0007019700346556694,
45,33.63768731576915,-3.090027892152707,0.000708789075994873,
46,34.2665520527423,-2.8592213823005213,0.0006106792915915562,
47,34.842183607152776,-2.6477118089967733,0.0006544437775188578,
48,35.24436093417031,-2.4425873332225856,0.0005463886904893718,
49,35.72759979420028,-2.314581615945464,0.0004828592934384586,
50,36.35349413758425,-1.8228676145767169,0.0003756973869154018,
51,36.81255148771197,-1.4940501718570312,0.00034550554981905635,
52,37.24656999490838,-1.0650737065528555,0.0003109187270109037,
53,37.89008129539451,-0.5070786384987247,0.00020367577439104123,
54,38.122896447462296,-0.15413334299192538,7.572374614038313e-05,
55,38.517409229285434,0.4590266863819976,-4.8989471450169066e-05,
56,38.937379042043126,0.6527036069083856,-8.04343937194794e-06,
57,39.77831253807706,1.53203698003828,-0.00012132574085523738,
58,40.11826436740839,2.273010539500113,-0.00013767820277935967,
59,40.70260539664267,2.7965301098929474,-0.00017750173967117698,
60,41.39009930235968,3.56349325934933,-0.00031414812700365763,
61,41.58668836474121,4.6252619428341255,-0.0003939907290796528,
62,42.24683298015776,5.5142162413731,-0.0005260994893245339,
63,42.63559816667507,6.643908394228153,-0.0006689403075629606,
64,43.01343146190977,8.132227805989574,-0.0010121410115498206,
65,43.57204687298316,9.287021310258558,-0.0011997355393395287,
66,44.284182976925294,10.631582426321723,-0.001258051399683654,
67,44.98940246551708,12.014928339346886,-0.001554436175940673,
68,45.60254118931781,13.367613608045385,-0.001771195567919947,
69,46.00827949947861,14.921244813702607,-0.0020109521094889902,
70,46.74562026457787,16.643175010565475,-0.002208556217381317,
71,47.226098144032576,18.26230126243204,-0.0024004198114995377,
72,47.99218816164391,19.94023676461171,-0.0026524893813601397,
73,48.653110438404404,21.9513191657761,-0.002822622663770557,
74,49.13860849966297,23.809898621322237,-0.0030004485744102053,
75,49.734185874991226,25.541064527280067,-0.0031479228043328946,
76,50.497504609864706,27.293895692230983,-0.00347557054262406,
77,51.058928667264546,29.002152481698232,-0.003618288253604134,
78,51.92037388687997,30.74710811156957,-0.003668016857296027,
79,52.27746915444174,32.73607690017993,-0.003797026556388791,
80,52.94927862978527,34.45435314699359,-0.0038414766061819657,
81,53.693813892438236,36.47434926199758,-0.0036215006903120893,
82,54.17218311553278,38.28781242337884,-0.0035999136861968243,
83,55.09562355681382,40.15623842115652,-0.0037342578612094314,
84,56.148399039691,41.88899654236822,-0.0038560623096787943,
85,57.03891571768912,43.08783717521438,-0.003759307557567069,
86,57.724574807949736,44.707515870061336,-0.0038703448665525384,
87,58.6816213009003,46.24007719953756,-0.003860074247902179,
88,59.302462055031086,47.82706538256869,-0.0038482424304690905,
89,60.58053424053747,48.83443108649025,-0.00367375753659118,
90,61.35869415361524,50.30846720463681,-0.0035869722271534223,
91,62.03120105962373,51.22551152632028,-0.0035225545950113147,
92,62.70473892916396,51.86011859761343,-0.0033880350341044954,
93,63.37961877836501,52.86185804879927,-0.003253765018551217,
94,63.80654480283896,53.62332466104533,-0.0030353221316898465,
95,64.5222432145981,54.1260498123163,-0.0028026052608200506,
96,64.727339596718,54.58812043424385,-0.0025392346774273165,
97,65.25269343558064,54.89088962343664,-0.002285430495545237,
98,65.66461142431895,55.380061828064925,-0.0019961438636965203,
99,65.62956053774766,55.71874013478976,-0.001864490957220157,
100,65.7339298791859,55.84037265319148,-0.0016568775121914368,
101,65.68205873784741,56.0359697594272,-0.0013355638217684676,
102,65.57619587922248,55.99315572899708,-0.0009312250028828497,
103,65.28692400711499,55.627009978790916,-0.0004382855109000979,
104,64.85041159130583,55.76284559611446,6.38590796017373e-05,
105,64.57011160026312,55.63975208802009,0.00034293964608558635,
106,63.860161511287274,55.643555389614015,0.000565942438864545,
107,63.22894071988555,55.34678201739185,0.0007844135984510121,
108,62.55034903760749,55.351822941972394,0.0010354547484707098,
109,61.84835772698067,55.027231721899916,0.0010372130123910272,
110,60.783089668164024,54.71344536505637,0.001216266976418119,
111,60.05760578214987,54.20099296647802,0.001431343910821207,
112,59.24107774602724,53.80247909237394,0.0015359006504502449,
113,58.325840171709274,53.39674645299864,0.001681152874184111,
114,57.4867615522674,52.61190670819421,0.001715687624625104,
115,56.45493451859343,52.058888562549974,0.0018995586272775693,
116,55.87080110785746,51.24523147369771,0.0022036422194917187,
117,55.40006691991679,50.71068669978372,0.002422876266685273,
118,54.79715512661073,49.80651643266291,0.0024015414379187556,
119,54.15049340283974,49.253211290596724,0.002425757531093178,
120,53.84180696220486,48.05178424993463,0.002484239407201767,
121,53.47406538386073,47.35965364674392,0.0025799689935047864,
122,52.897516932973815,46.23218425323714,0.002837677378719152,
123,52.616270281863976,44.80374544340256,0.0028809581725930903,
124,52.623611922191145,43.72504424276196,0.0029590974494236137,
125,52.35908908729738,42.831094597529656,0.0030678527440126087,
126,52.21964947581562,41.44575650048026,0.0033700273761021232,
127,51.9958957315548,40.71859091655554,0.0035982818595767137,
128,52.35126486437176,39.595633588118325,0.003828718543788084,
129,52.35067060559793,38.01053849178072,0.003946686457080569,
130,52.45885507889664,36.612856553854634,0.004159331674842086,
131,52.29692487018226,35.20910758038599,0.004244088899509821,
132,52.207850810125485,34.075529162287374,0.004496782294405115,
133,52.18654046377589,32.7780348794256,0.004680143559593027,
134,52.17528280461552,31.41533091053384,0.004752639295629637,
135,51.714169259275394,30.226744039816182,0.0049837100403066215,
136,51.800755304943536,28.886399834964365,0.005349521479747673,
137,51.84869158873549,27.74209371208086,0.005450823695582739,
138,51.59861984019389,26.324045280973536,0.00569757508578662,
139,51.5944321253823,25.51453141748837,0.005918255123381975,
140,51.24841802964289,24.22538207024304,0.0061819941311337554,
141,50.836402719640546,23.27587759555459,0.00607942563332517,
142,50.37007679148641,22.054821467370953,0.006236931373186053,
143,50.13554045878248,21.43031216213777,0.006427336242944789,
144,49.62478103800865,20.79290180342956,0.006541399197818272,
145,49.050882502477634,19.697684883275304,0.006860378651218487,
146,48.44163022943743,19.458310445231334,0.007067073752600641,
147,47.80310317296724,18.96383114863707,0.007246831412896326,
148,47.31323422008618,18.258377031189635,0.00758730585438165,
149,46.68727716931004,17.918664978576683,0.007611008578004484,
150,45.93871600474386,17.654359377221105,0.007597892984090809,
151,45.09189357363991,17.502684658618346,0.007573162986847934,
152,44.45119004831277,17.27942774870416,0.007612285664932562,
153,43.62179794807705,17.144189497053226,0.007645888295834492,
154,42.83511391582384,16.896303082545305,0.007697254820305657,
155,42.339404981540596,16.947390254810216,0.0076106561273219485,
156,41.24859328393293,16.66047547060365,0.00753268208242181,
157,40.4992690395253,16.68123924291984,0.007511817632807337,
158,39.76958006853171,16.467578841443935,0.007499037188106846,
159,39.152553958603676,16.49157963429481,0.007246230695212104,
