k,Xx,Xy,Xa,
1,0.0,0.0,0.0,
2,0.17168597877025604,-0.15861982107162476,-4.301545777707361e-05,
3,0.3612004518508911,-0.25766608119010925,-8.194404654204845e-05,
4,0.5606008172035217,-0.4081778824329376,-0.0001201595296151936,
5,0.8013573884963989,-0.5622686147689819,-0.00016311556100845337,
6,1.0502746105194092,-0.7305612564086914,-0.0002065212174784392,
7,1.3122401237487793,-0.8996548652648926,-0.00023748613602947444,
8,1.585418701171875,-1.0866825580596924,-0.0002630361414048821,
9,1.8818485736846924,-1.313718318939209,-0.00029184893355704844,
10,2.1772239208221436,-1.5240696668624878,-0.0003146235831081867,
11,2.4745097160339355,-1.7339282035827637,-0.0003382714348845184,
12,2.7816648483276367,-1.9465343952178955,-0.0003612992586567998,
13,3.100618839263916,-2.145925521850586,-0.00039331664447672665,
14,3.439027786254883,-2.352135419845581,-0.00042138402932323515,
15,3.7813520431518555,-2.5635318756103516,-0.0004503210948314518,
16,4.144501686096191,-2.757056951522827,-0.0004719008575193584,
17,4.5108537673950195,-2.960049867630005,-0.00048657794832251966,
18,4.898193359375,-3.150841474533081,-0.0004963907413184643,
19,5.314326763153076,-3.3481438159942627,-0.0004964448744431138,
20,5.730458736419678,-3.5172853469848633,-0.0004979833029210567,
21,6.166382789611816,-3.6721341609954834,-0.0004942441591992974,
22,6.611769676208496,-3.8089795112609863,-0.00048806911217980087,
23,7.072940826416016,-3.9384570121765137,-0.0004834087158087641,
24,7.548718452453613,-4.051374912261963,-0.00047606791486032307,
25,8.045661926269531,-4.150745391845703,-0.0004682866856455803,
26,8.554439544677734,-4.243464946746826,-0.0004519510257523507,
27,9.090072631835938,-4.310775279998779,-0.0004371141258161515,
28,9.631853103637695,-4.36896276473999,-0.00041320433956570923,
29,10.189695358276367,-4.410731792449951,-0.00038172220229171216,
30,10.766459465026855,-4.436733245849609,-0.0003509162343107164,
31,11.366065979003906,-4.473082065582275,-0.0003149810363538563,
32,11.961868286132812,-4.476762771606445,-0.00028143421513959765,
33,12.571391105651855,-4.476319789886475,-0.0002520352427382022,
34,13.192464828491211,-4.464439392089844,-0.0002237906155642122,
35,13.828974723815918,-4.457336902618408,-0.00019826351490337402,
36,14.462611198425293,-4.433737754821777,-0.00017526834562886506,
37,15.103435516357422,-4.415245056152344,-0.00015244210953824222,
38,15.738824844360352,-4.391646385192871,-0.0001236685347976163,
39,16.377826690673828,-4.363827228546143,-9.396841778652743e-05,
40,17.020185470581055,-4.330207824707031,-6.3075523939915e-05,
41,17.65947151184082,-4.298663139343262,-3.4162832889705896e-05,
42,18.309062957763672,-4.26206111907959,-6.265725460252725e-06,
43,18.952442169189453,-4.224353313446045,2.3109309040592052e-05,
44,19.58855628967285,-4.182146072387695,5.366143159335479e-05,
45,20.21933937072754,-4.133111953735352,8.307559619424865e-05,
46,20.848669052124023,-4.076040267944336,0.00010671281779650599,
47,21.47435188293457,-4.012176513671875,0.00013120315270498395,
48,22.088926315307617,-3.9421236515045166,0.00014973344514146447,
49,22.696630477905273,-3.8696045875549316,0.00016457666060887277,
50,23.304222106933594,-3.778545379638672,0.00017396939801983535,
51,23.904373168945312,-3.677049160003662,0.0001815904543036595,
52,24.49639320373535,-3.561150550842285,0.00018732900207396597,
53,25.090009689331055,-3.4257922172546387,0.00018805349827744067,
54,25.667022705078125,-3.2809441089630127,0.00018308025028090924,
55,26.23540496826172,-3.1155223846435547,0.00017281563486903906,
56,26.796724319458008,-2.94899845123291,0.00016482318460475653,
57,27.369935989379883,-2.7511348724365234,0.0001521880622021854,
58,27.932432174682617,-2.529454231262207,0.00013939826749265194,
59,28.49551010131836,-2.294614553451538,0.00012542514014057815,
60,29.063720703125,-2.0364718437194824,0.00010605495481286198,
61,29.615243911743164,-1.743082880973816,8.403247920796275e-05,
62,30.171262741088867,-1.4236301183700562,5.717561361961998e-05,
63,30.71965980529785,-1.0686802864074707,2.5228477170458063e-05,
64,31.260318756103516,-0.6640404462814331,-2.039321043412201e-05,
65,31.801551818847656,-0.22658348083496094,-7.223807915579528e-05,
66,32.350101470947266,0.25057774782180786,-0.00012434856034815311,
67,32.90534973144531,0.7673901319503784,-0.00018717284547165036,
68,33.462974548339844,1.3207552433013916,-0.00025673850905150175,
69,34.01377487182617,1.9178838729858398,-0.0003337571397423744,
70,34.57262420654297,2.5642333030700684,-0.00041604923899285495,
71,35.127906799316406,3.253122091293335,-0.0005031307227909565,
72,35.692317962646484,3.9852590560913086,-0.0005974324885755777,
73,36.26085662841797,4.7733564376831055,-0.000695042428560555,
74,36.82564926147461,5.6082634925842285,-0.0007961532683111727,
75,37.391700744628906,6.482337474822998,-0.0008992808288894594,
76,37.9663200378418,7.394811153411865,-0.0010122371604666114,
77,38.540283203125,8.342047691345215,-0.0011264828499406576,
78,39.126773834228516,9.324132919311523,-0.0012378864921629429,
79,39.70314407348633,10.350237846374512,-0.0013500491622835398,
80,40.28363800048828,11.406569480895996,-0.0014592327643185854,
81,40.87126541137695,12.50502872467041,-0.0015539824962615967,
82,41.45405578613281,13.634721755981445,-0.001643626601435244,
83,42.05172348022461,14.796690940856934,-0.0017352220602333546,
84,42.669288635253906,15.98358154296875,-0.0018281342927366495,
85,43.29876708984375,17.170917510986328,-0.0019127317937090993,
86,43.930667877197266,18.377120971679688,-0.001998482272028923,
87,44.576778411865234,19.597551345825195,-0.0020800221245735884,
88,45.22174835205078,20.833974838256836,-0.0021574683487415314,
89,45.89441680908203,22.06031036376953,-0.0022238772362470627,
90,46.571678161621094,23.297441482543945,-0.0022835740819573402,
91,47.24870300292969,24.5205078125,-0.0023378331679850817,
92,47.92555236816406,25.71776008605957,-0.0023838235065340996,
93,48.602294921875,26.90641212463379,-0.0024219185579568148,
94,49.2680778503418,28.076324462890625,-0.0024487790651619434,
95,49.93602752685547,29.216989517211914,-0.002464272314682603,
96,50.58369445800781,30.327913284301758,-0.002467554761096835,
97,51.225990295410156,31.403425216674805,-0.00245958031155169,
98,51.858184814453125,32.453243255615234,-0.002439288655295968,
99,52.46115493774414,33.47190475463867,-0.002414121525362134,
100,53.04228210449219,34.45127487182617,-0.0023809666745364666,
101,53.59568786621094,35.39631271362305,-0.002335196128115058,
102,54.12022018432617,36.2980842590332,-0.002273727208375931,
103,54.60911560058594,37.14433288574219,-0.002193368738517165,
104,55.057491302490234,37.959468841552734,-0.0020945449359714985,
105,55.47395706176758,38.7335205078125,-0.001987830502912402,
106,55.84110641479492,39.47384262084961,-0.0018760261591523886,
107,56.16454315185547,40.16875457763672,-0.0017595529789105058,
108,56.44411087036133,40.833457946777344,-0.0016371894162148237,
109,56.680702209472656,41.4548454284668,-0.001520106801763177,
110,56.86029815673828,42.0352897644043,-0.001400312059558928,
111,57.00027084350586,42.56788635253906,-0.0012763467384502292,
112,57.09836959838867,43.059715270996094,-0.001153231831267476,
113,57.15210723876953,43.51224899291992,-0.0010291484650224447,
114,57.1667594909668,43.91061019897461,-0.0009089859086088836,
115,57.135597229003906,44.2673225402832,-0.0007860349141992629,
116,57.08022689819336,44.57279586791992,-0.0006551549304276705,
117,57.006675720214844,44.841495513916016,-0.0005204075714573264,
118,56.909950256347656,45.0588493347168,-0.00039249344263225794,
119,56.78915023803711,45.24246597290039,-0.0002691193076316267,
120,56.660125732421875,45.365447998046875,-0.00014858628856018186,
121,56.52064895629883,45.4527473449707,-2.9139417165424675e-05,
122,56.36204147338867,45.48686981201172,9.635977767175063e-05,
123,56.19806671142578,45.456966400146484,0.00021825946168974042,
124,56.04159164428711,45.38114929199219,0.0003382432332728058,
125,55.88038635253906,45.26951599121094,0.00045773523743264377,
126,55.72013473510742,45.10212707519531,0.0005852241883985698,
127,55.55710220336914,44.91023254394531,0.000717124086804688,
128,55.41676330566406,44.677581787109375,0.0008533373475074768,
129,55.28254318237305,44.38572692871094,0.0009887516498565674,
130,55.158935546875,44.04546356201172,0.0011275466531515121,
