k,dx,dy,da,
1,0.45414306187527953,-0.2878877007791082,-0.00010180440999006668,
2,0.565773601811359,-0.6544082385373848,-0.00015373294594007989,
3,0.45386709860949986,0.10315860419567281,-5.494494059820176e-05,
4,0.4382303241376302,-0.589117098411731,-6.867833254618708e-05,
5,0.7330640344318805,-0.3140456571524433,-0.0001129134211365334,
6,0.5235740044341687,-0.42049320383165983,-8.384530624420554e-05,
7,0.5883817394344241,-0.31492787275486783,4.9453053532625655e-05,
8,0.5937416612386744,-0.5022223017254143,4.7900288920640705e-06,
9,0.7563393385731598,-0.8040073867215174,-8.366624768280491e-05,
10,0.4976713957107777,-0.18105487381096774,2.6439952186407035e-05,
11,0.5244273089620617,-0.34883360766914917,-5.008552121672754e-05,
12,0.6296841939483292,-0.38565164453315204,-3.048949501151578e-05,
13,0.6697063657153081,-0.15203619321957587,-0.00016829290617324908,
14,0.8009396176255361,-0.41971601816454807,9.064519563487738e-06,
15,0.5871400067308982,-0.4017683148630008,-5.7257309856162976e-05,
16,0.8585119248541672,-0.03138889899444387,7.540719634115951e-05,
17,0.5941830760597405,-0.4464041298285363,8.327567611120032e-05,
18,0.8946376872231582,-0.086388932057657,6.215217254559582e-05,
19,1.060204240563068,-0.3871524194103175,0.00015778427951055498,
20,0.5825839465955767,0.2308035679474009,-2.6800139608967e-05,
21,0.9350710616990829,0.030444554393111,9.487932070346432e-05,
22,0.7644624216317852,0.12850756829991625,5.064971134879854e-05,
23,0.8897923850781766,-0.04066795404879721,-2.0683377612727886e-05,
24,0.8819535856115613,0.15211628507791383,5.791614815831998e-05,
25,1.0233548545906972,0.12157987581182472,1.8024161034659066e-05,
26,0.8601331725008348,0.007292018677636574,0.00017986949320584895,
27,1.1702751146908843,0.39646338162146416,-9.930933903516113e-06,
28,0.7785926033540431,0.10343531485111081,0.0002026548457091642,
29,0.9819027134152551,0.26729429060698706,0.00018433937792291632,
30,1.0547816944507191,0.27728028246652864,2.3370509065652125e-05,
31,1.1540821639021932,-0.24680266237904036,0.0001433622242365302,
32,0.6150583722264241,0.6459863846633698,-8.645539212661076e-06,
33,0.9743210604379181,0.08324175410870653,-4.95087118860424e-05,
34,0.9384499989797767,0.24465448326517467,8.730657370259008e-06,
35,1.029700084800007,-0.08922913375540287,-2.659165539990407e-05,
36,0.647223470753519,0.3639895545568547,-2.6206925407985294e-05,
37,0.8560875823092444,-0.08468046761605097,2.174631257782977e-05,
38,0.5842555175632532,0.13152252967630493,0.00015459962086873335,
39,0.7707025014175034,0.11801588068151064,5.1590851123465095e-05,
40,0.7646590639132032,0.15742754855636254,5.830426197766518e-05,
41,0.6226090215661574,-0.009573393044221733,-1.0427401359350364e-05,
42,0.9108022339996616,0.1454671539450591,8.448078443890316e-06,
43,0.5527012137498261,0.06340287256569285,6.24025526830841e-05,
44,0.5189531191902278,0.13985629436415098,5.7220550329182335e-05,
45,0.5509576754024933,0.19649001082353174,6.819041339203537e-06,
46,0.6288647369731498,0.23080650985218568,-9.810978440331684e-05,
47,0.5756315544104788,0.21150957330374787,4.3764485927301574e-05,
48,0.4021773270175332,0.20512447577418752,-0.00010805508702948596,
49,0.48323886002997307,0.12800571727712184,-6.352939705091317e-05,
50,0.6258943433839694,0.4917140013687471,-0.0001071619065230568,
51,0.45905735012772503,0.32881744271968577,-3.0191837096345484e-05,
52,0.4340185071964064,0.4289764653041757,-3.4586822808152616e-05,
53,0.6435113004861311,0.5579950680541308,-0.00010724295261986248,
54,0.2328151520677867,0.3529452955067993,-0.0001279520282506581,
55,0.3945127818231392,0.613160029373923,-0.0001247132175905522,
56,0.41996981275769013,0.19367692052638794,4.0946032078221126e-05,
57,0.8409334960339329,0.8793333731298946,-0.00011328230148328944,
58,0.3399518293313316,0.7409735594618326,-1.6352461924122303e-05,
59,0.5843410292342711,0.5235195703928346,-3.9823536891817295e-05,
60,0.687493905717009,0.7669631494563823,-0.00013664638733248066,
61,0.1965890623815263,1.061768683484796,-7.984260207599518e-05,
62,0.6601446154165566,0.8889542985389752,-0.00013210876024488118,
63,0.38876518651730124,1.1296921528550528,-0.0001428408182384267,
64,0.37783329523470277,1.4883194117614218,-0.00034320070398686007,
65,0.5586154110733913,1.1547935042689836,-0.0001875945277897081,
66,0.7121361039421377,1.3445611160631648,-5.831586034412537e-05,
67,0.705219488591789,1.383345913025164,-0.0002963847762570189,
68,0.6131387238007315,1.3526852686984998,-0.00021675939197927384,
69,0.4057383101607969,1.5536312056572212,-0.0002397565415690433,
70,0.7373407650992618,1.7219301968628673,-0.00019760410789232673,
71,0.4804778794547021,1.619126251866564,-0.0001918635941182207,
72,0.7660900176113308,1.6779355021796711,-0.00025206956986060223,
73,0.6609222767604918,2.0110824011643857,-0.0001701332824104172,
74,0.48549806125856537,1.8585794555461395,-0.00017782591063964808,
75,0.5955773753282543,1.7311659059578308,-0.00014747422992268937,
76,0.7633187348734798,1.7528311649509163,-0.00032764773829116565,
77,0.5614240573998385,1.7082567894672487,-0.00014271771098007375,
78,0.8614452196154253,1.7449556298713398,-4.9728603691893095e-05,
79,0.35709526756176746,1.988968788610363,-0.00012900969909276385,
80,0.6718094753435296,1.7182762468136616,-4.4450049793174646e-05,
81,0.7445352626529678,2.0199961150039942,0.00021997591586987614,
82,0.47836922309454716,1.8134631613812568,2.1587004115264815e-05,
83,0.9234404412810356,1.8684259977776858,-0.00013434417501260708,
84,1.0527754828771785,1.7327581212116954,-0.00012180444846936284,
85,0.8905166779981194,1.1988406328461665,9.675475211172522e-05,
86,0.6856590902606112,1.6196786948469506,-0.00011103730898546944,
87,0.95704649295056,1.532561329476225,1.0270618650359267e-05,
88,0.6208407541307874,1.5869881830311288,1.1831817433088682e-05,
89,1.2780721855063824,1.0073657039215553,0.0001744848938779105,
90,0.7781599130777694,1.4740361181465609,8.678530943775797e-05,
91,0.6725069060084953,0.9170443216834678,6.441763214210752e-05,
92,0.6735378695402251,0.6346070712931443,0.0001345195609068194,
93,0.674879849201045,1.0017394511858417,0.00013427001555327823,
94,0.42692602447394823,0.7614666122460585,0.00021844288686137045,
95,0.7156984117591433,0.50272515127097,0.00023271687086979585,
96,0.20509638211989556,0.46207062192754245,0.00026337058339273415,
97,0.5253538388626401,0.30276918919279305,0.0002538041818820794,
98,0.411917988738316,0.4891722046282827,0.0002892866318487165,
99,-0.035050886571288596,0.3386783067248343,0.00013165290647636335,
100,0.10436934143823594,0.1216325184017155,0.00020761344502872022,
101,-0.051871141338484694,0.19559710623572246,0.0003213136904229693,
102,-0.105862858624926,-0.04281403043012498,0.00040433881888561797,
103,-0.2892718721074859,-0.3661457502061659,0.0004929394919827518,
104,-0.4365124158091665,0.13583561732354577,0.0005021445905018352,
105,-0.28029999104270575,-0.12309350809436816,0.00027908056648384905,
106,-0.7099500889758471,0.0038033015939239606,0.00022300279277895861,
107,-0.6312207914017245,-0.2967733722221656,0.00021847115958646706,
108,-0.6785916822780594,0.005040924580542407,0.00025104115001969775,
109,-0.7019913106268146,-0.3245912200724745,1.7582639203172862e-06,
110,-1.065268058816652,-0.3137863568435434,0.00017905396402709183,
111,-0.7254838860141521,-0.5124523985783573,0.00021507693440308797,
112,-0.8165280361226348,-0.39851387410407213,0.00010455673962903786,
113,-0.9152375743179664,-0.40573263937530313,0.00014525222373386608,
114,-0.8390786194418678,-0.7848397448044281,3.4534750440993166e-05,
115,-1.031827033673968,-0.5530181456442371,0.00018387100265246522,
116,-0.5841334107359748,-0.8136570888522692,0.0003040835922141495,
117,-0.470734187940669,-0.5345447739139868,0.0002192340471935543,
118,-0.6029117933060574,-0.9041702671208144,-2.1334828766517052e-05,
119,-0.6466617237709903,-0.553305142066183,2.4216093174422113e-05,
120,-0.3086864406348777,-1.2014270406620964,5.848187610858936e-05,
121,-0.36774157834412846,-0.6921306031907045,9.572958630301931e-05,
122,-0.576548450886915,-1.1274693935067792,0.00025770838521436593,
123,-0.28124665110983726,-1.4284388098345842,4.328079387393807e-05,
124,0.007341640327167109,-1.0787012006406034,7.813927683052345e-05,
125,-0.2645228348937706,-0.8939496452323055,0.00010875529458899492,
126,-0.13943961148175701,-1.3853380970493985,0.0003021746320895144,
127,-0.2237537442608216,-0.7271655839247181,0.00022825448347459028,
128,0.3553691328169564,-1.1229573284372183,0.0002304366842113704,
129,-0.0005942587738278346,-1.5850950963376003,0.00011796791329248496,
130,0.10818447329871388,-1.3976819379260879,0.0002126452177615172,
